marca,model,varianta,eea_inregistrari,eea_masa_mediana,eea_putere_mediana,eea_co2_mediana,abatere_masa_pct,abatere_putere_pct,abatere_co2_pct,status
Toyota,Yaris,1.5 Hybrid 116,3991,1265.0,68.0,102.0,0.0,0.0,-5.9,OK
Toyota,Yaris,1.5 Hybrid 130,3991,1265.0,68.0,102.0,0.0,8.8,-1.0,OK
Toyota,Yaris Cross,1.5 Hybrid 116 FWD,2866,1265.0,68.0,102.0,0.0,0.0,0.0,OK
Toyota,Yaris Cross,1.5 Hybrid 130 AWD-i,2866,1265.0,68.0,102.0,-1.6,8.8,9.8,DE VERIFICAT manual
Toyota,Corolla,1.8 Hybrid 140 HB,3861,1430.0,72.0,99.0,-5.2,0.0,3.0,OK
Toyota,Corolla,2.0 Hybrid 196 HB,736,1515.0,112.0,115.0,-6.3,0.0,-7.0,DE VERIFICAT manual
Toyota,Corolla,1.8 Hybrid 140 Touring Sports,3861,1430.0,72.0,99.0,-2.4,0.0,5.1,OK
Toyota,Corolla,2.0 Hybrid 196 Touring Sports,736,1515.0,112.0,115.0,-3.6,0.0,-5.2,OK
Toyota,Corolla Cross,2.0 Hybrid 197 FWD,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Toyota,Corolla Cross,2.0 Hybrid 197 AWD-i,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Toyota,C-HR,1.8 Hybrid 140,1346,1510.0,72.0,108.0,13.9,0.0,-2.8,DE VERIFICAT manual
Toyota,C-HR,2.0 Hybrid 198,1946,1720.0,113.0,108.0,0.0,-0.9,-0.9,OK
Toyota,C-HR,2.0 PHEV 223,30254,1720.0,111.0,19.0,-4.4,0.9,0.0,OK
Toyota,RAV4,2.5 Hybrid 218 FWD,2617,1735.0,131.0,131.0,14.4,0.0,-3.8,DE VERIFICAT manual
Toyota,RAV4,2.5 Hybrid 222 AWD-i,2617,1735.0,131.0,131.0,14.4,0.0,0.0,DE VERIFICAT manual
Toyota,RAV4,2.5 PHEV 306 AWD-i,18291,1995.0,136.0,22.0,-4.8,0.0,0.0,OK
Toyota,Prius,2.0 PHEV 223,1399,1630.0,111.0,16.0,-5.2,0.9,0.0,OK
