time_s,speed_kmh
0,0.0
1,0.0
2,0.0
3,3.22
4,7.89
5,13.04
6,18.19
7,23.34
8,27.84
9,31.54
10,35.08
11,38.62
12,41.52
13,43.61
14,45.06
15,46.67
16,48.28
17,49.41
18,50.7
19,51.82
20,52.95
21,53.91
22,54.88
23,55.68
24,56.17
25,56.49
26,57.45
27,57.78
28,57.62
29,56.81
30,56.17
31,55.52
32,55.68
33,56.01
34,56.49
35,57.45
36,58.1
37,58.26
38,58.74
39,59.06
40,59.39
41,59.55
42,59.55
43,59.55
44,59.55
45,59.55
46,59.55
47,59.71
48,60.03
49,60.83
50,62.12
51,63.25
52,64.37
53,65.5
54,66.63
55,67.92
56,69.04
57,70.01
58,70.81
59,71.3
60,71.62
61,72.1
62,72.26
63,72.42
64,72.58
65,73.07
66,73.55
67,74.03
68,74.51
69,74.84
70,75.32
71,75.48
72,75.64
73,75.8
74,75.96
75,76.12
76,75.96
77,75.8
78,75.64
79,75.48
80,75.48
81,75.48
82,75.64
83,75.8
84,75.8
85,75.96
86,75.8
87,75.64
88,75.48
89,74.84
90,74.51
91,74.35
92,74.51
93,74.84
94,75.48
95,75.8
96,76.28
97,76.77
98,77.25
99,77.57
100,78.05
101,78.54
102,79.02
103,79.18
104,79.02
105,79.02
106,78.86
107,78.86
108,79.02
109,79.18
110,79.34
111,79.5
112,79.66
113,79.66
114,79.66
115,79.5
116,79.02
117,78.7
118,78.22
119,77.89
120,77.41
121,76.77
122,76.28
123,76.12
124,76.45
125,76.93
126,77.09
127,77.25
128,77.09
129,77.09
130,77.09
131,77.25
132,77.25
133,77.25
134,77.09
135,76.12
136,74.03
137,69.69
138,66.31
139,63.57
140,63.09
141,62.77
142,62.77
143,62.93
144,63.57
145,64.54
146,65.98
147,67.59
148,69.36
149,70.33
150,70.97
151,71.3
152,71.46
153,71.78
154,71.94
155,72.26
156,72.74
157,73.55
158,73.87
159,74.51
160,75.32
161,75.48
162,75.64
163,75.8
164,76.61
165,77.09
166,77.25
167,77.25
168,77.09
169,76.93
170,76.12
171,75.16
172,74.35
173,73.87
174,73.55
175,73.23
176,73.07
177,72.9
178,72.42
179,70.81
180,69.36
181,67.92
182,66.79
183,66.79
184,67.75
185,69.04
186,70.01
187,70.65
188,70.17
189,69.69
190,69.2
191,69.36
192,69.85
193,70.65
194,71.3
195,71.78
196,72.26
197,72.1
198,71.46
199,70.65
200,69.85
201,69.52
202,69.52
203,69.36
204,69.2
205,69.2
206,69.36
207,69.85
208,70.65
209,70.81
210,70.01
211,68.56
212,66.79
213,65.5
214,64.37
215,64.37
216,64.86
217,65.98
218,67.59
219,68.72
220,69.36
221,69.52
222,69.85
223,70.65
224,71.3
225,71.94
226,72.58
227,73.07
228,73.71
229,74.84
230,75.48
231,75.96
232,76.28
233,76.12
234,76.12
235,75.96
236,75.96
237,75.96
238,75.8
239,75.64
240,75.64
241,75.48
242,75.32
243,75.48
244,75.64
245,75.96
246,76.45
247,77.09
248,77.25
249,77.25
250,77.25
251,77.25
252,77.25
253,77.41
254,77.57
255,77.57
256,77.41
257,78.22
258,78.7
259,79.02
260,79.02
261,79.02
262,79.02
263,79.02
264,78.86
265,78.7
266,77.57
267,76.77
268,76.45
269,75.96
270,75.16
271,74.35
272,74.03
273,73.71
274,73.39
275,73.07
276,72.74
277,72.42
278,71.94
279,71.62
280,71.13
281,70.01
282,68.88
283,67.59
284,64.54
285,62.12
286,60.35
287,57.62
288,55.85
289,54.72
290,53.59
291,52.3
292,51.02
293,49.25
294,47.64
295,46.35
296,45.71
297,46.03
298,47.48
299,50.53
300,53.75
301,57.29
302,60.35
303,62.93
304,64.7
305,66.15
306,67.27
307,68.24
308,68.88
309,69.69
310,70.49
311,71.3
312,71.94
313,72.42
314,72.74
315,73.07
316,73.23
317,73.71
318,74.03
319,74.19
320,74.84
321,75.32
322,75.8
323,76.77
324,77.73
325,78.86
326,79.99
327,80.95
328,82.08
329,83.2
330,84.33
331,85.46
332,86.58
333,87.71
334,88.84
335,89.8
336,90.77
337,91.57
338,91.73
339,91.9
340,92.22
341,92.7
342,93.02
343,93.34
344,93.5
345,93.99
346,94.47
347,94.63
348,94.79
349,94.95
350,94.95
351,94.79
352,94.63
353,94.31
354,93.99
355,93.67
356,93.5
357,93.34
358,93.18
359,92.7
360,92.38
361,92.06
362,91.9
363,91.73
364,91.73
365,91.57
366,91.57
367,91.57
368,91.73
369,91.73
370,91.73
371,91.73
372,91.73
373,91.73
374,91.73
375,91.73
376,91.73
377,91.57
378,91.41
379,90.93
380,90.45
381,90.12
382,90.12
383,90.12
384,90.29
385,90.77
386,91.25
387,91.57
388,91.9
389,92.22
390,92.38
391,92.38
392,92.06
393,91.73
394,91.57
395,91.09
396,90.61
397,90.29
398,90.77
399,91.25
400,91.9
401,92.54
402,93.02
403,93.34
404,93.34
405,93.34
406,93.34
407,93.34
408,93.34
409,93.18
410,93.02
411,92.86
412,92.86
413,93.02
414,93.18
415,93.34
416,93.5
417,93.99
418,94.79
419,95.11
420,95.6
421,96.24
422,96.4
423,96.4
424,96.24
425,95.92
426,95.6
427,95.27
428,95.11
429,94.95
430,94.79
431,94.47
432,94.31
433,94.15
434,93.99
435,93.99
436,93.83
437,93.67
438,93.5
439,93.34
440,93.18
441,93.18
442,93.18
443,93.18
444,93.18
445,93.34
446,93.5
447,93.5
448,93.67
449,93.67
450,93.67
451,93.5
452,93.34
453,93.34
454,93.34
455,93.34
456,93.34
457,93.34
458,93.18
459,93.18
460,93.34
461,93.5
462,93.5
463,93.67
464,93.83
465,93.83
466,93.83
467,93.67
468,93.5
469,93.34
470,93.02
471,92.54
472,91.9
473,91.73
474,91.09
475,90.29
476,90.12
477,89.8
478,89.32
479,88.84
480,88.68
481,88.52
482,88.35
483,88.35
484,88.35
485,88.35
486,88.35
487,88.35
488,88.52
489,88.52
490,88.52
491,88.52
492,88.52
493,88.52
494,88.68
495,88.68
496,88.52
497,88.35
498,88.35
499,88.19
500,88.03
501,87.87
502,87.55
503,87.39
504,87.39
505,87.23
506,87.07
507,87.07
508,87.07
509,86.91
510,86.91
511,86.91
512,86.91
513,86.91
514,86.91
515,86.91
516,86.91
517,87.07
518,87.23
519,87.71
520,88.19
521,88.35
522,88.52
523,88.68
524,88.84
525,88.84
526,89.0
527,89.16
528,89.32
529,89.48
530,89.64
531,89.8
532,89.96
533,90.12
534,90.12
535,90.12
536,90.12
537,90.12
538,90.12
539,90.12
540,90.12
541,90.12
542,90.12
543,90.12
544,90.12
545,90.12
546,90.12
547,89.96
548,89.96
549,89.96
550,89.8
551,89.48
552,89.16
553,88.84
554,88.68
555,88.52
556,88.35
557,87.87
558,87.55
559,87.23
560,87.07
561,86.58
562,85.94
563,85.78
564,85.46
565,85.14
566,84.65
567,84.33
568,84.01
569,83.85
570,83.69
