time_s,speed_kmh
0,1.21
1,1.79
2,2.0
3,2.0
4,2.0
5,2.11
6,2.68
7,3.52
8,4.67
9,4.59
10,4.02
11,3.47
12,2.91
13,2.32
14,1.74
15,1.15
16,1.41
17,1.96
18,2.0
19,2.1
20,2.68
21,2.75
22,2.2
23,2.0
24,2.0
25,1.48
26,0.91
27,0.33
28,1.67
29,5.52
30,6.33
31,5.25
32,2.76
33,0.08
34,1.77
35,3.15
36,3.72
37,2.81
38,0.49
39,1.73
40,3.92
41,6.26
42,8.44
43,10.11
44,11.81
45,13.56
46,14.42
47,14.98
48,15.55
49,15.88
50,15.32
51,14.76
52,14.18
53,13.63
54,13.09
55,12.54
56,12.0
57,12.0
58,12.58
59,14.93
60,16.32
61,16.91
62,17.48
63,17.92
64,16.83
65,15.72
66,14.58
67,13.42
68,12.26
69,11.54
70,11.0
71,11.0
72,11.0
73,11.0
74,11.93
75,13.54
76,15.17
77,16.81
78,16.51
79,15.79
80,13.47
81,12.0
82,12.0
83,13.3
84,15.12
85,17.28
86,19.6
87,22.51
88,23.47
89,22.39
90,20.89
91,19.16
92,17.96
93,16.8
94,15.62
95,15.84
96,17.63
97,17.03
98,15.29
99,10.7
100,7.54
101,6.43
102,5.65
103,5.09
104,3.99
105,2.69
106,0.96
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,4.67
133,9.41
134,14.08
135,17.29
136,19.48
137,24.64
138,30.71
139,33.07
140,35.45
141,39.57
142,42.76
143,44.6
144,46.77
145,49.01
146,50.74
147,52.15
148,52.7
149,52.75
150,52.2
151,49.07
152,44.53
153,39.95
154,35.68
155,33.37
156,30.57
157,27.06
158,22.97
159,18.62
160,13.96
161,9.71
162,7.91
163,5.65
164,2.9
165,1.22
166,0.07
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,1.01
175,1.87
176,0.68
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.3
183,1.48
184,4.5
185,8.98
186,12.16
187,14.96
188,17.93
189,20.72
190,23.11
191,26.16
192,29.6
193,31.61
194,33.12
195,33.66
196,35.19
197,38.5
198,41.93
199,45.45
200,47.88
201,50.14
202,53.22
203,54.52
204,53.38
205,52.24
206,51.1
207,50.48
208,50.1
209,50.68
210,51.0
211,51.0
212,50.26
213,49.11
214,49.0
215,48.81
216,47.67
217,46.55
218,45.45
219,43.36
220,40.61
221,30.87
222,19.51
223,12.94
224,6.88
225,2.34
226,0.0
227,0.0
228,2.94
229,6.86
230,10.9
231,14.39
232,16.07
233,19.05
234,23.66
235,25.81
236,26.95
237,31.4
238,35.51
239,37.86
240,39.93
241,41.75
242,42.0
243,42.0
244,42.0
245,41.2
246,37.95
247,35.03
248,35.4
249,35.77
250,36.96
251,39.6
252,42.24
253,44.27
254,46.06
255,47.85
256,48.0
257,48.0
258,47.79
259,46.8
260,46.23
261,47.4
262,48.79
263,50.41
264,50.31
265,49.23
266,48.55
267,47.94
268,46.82
269,45.56
270,43.89
271,42.23
272,40.57
273,38.43
274,36.06
275,35.46
276,34.7
277,33.04
278,30.91
279,28.05
280,25.17
281,22.28
282,21.04
283,19.94
284,15.48
285,11.5
286,9.2
287,7.17
288,5.42
289,3.24
290,0.98
291,0.41
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
