time_s,speed_kmh
0,1.25
1,3.59
2,8.25
3,11.41
4,13.68
5,13.52
6,12.84
7,10.53
8,8.01
9,5.06
10,2.66
11,0.57
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,2.32
27,5.03
28,7.84
29,9.58
30,7.8
31,7.95
32,9.67
33,9.53
34,9.04
35,9.6
36,9.52
37,7.79
38,5.23
39,1.94
40,0.6
41,0.04
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.96
48,3.14
49,4.68
50,5.79
51,7.74
52,9.91
53,10.0
54,8.69
55,4.57
56,1.91
57,0.14
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.68
71,1.79
72,4.28
73,7.07
74,8.76
75,10.15
76,10.72
77,11.0
78,11.0
79,9.68
80,7.97
81,7.4
82,6.84
83,6.28
84,5.72
85,5.16
86,4.18
87,3.03
88,1.48
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,1.03
107,2.51
108,5.71
109,9.76
110,10.0
111,9.79
112,8.68
113,8.0
114,8.0
115,8.0
116,8.0
117,7.5
118,6.72
119,4.37
120,2.54
121,1.44
122,0.68
123,0.14
124,0.0
125,0.0
126,0.0
127,0.17
128,0.74
129,1.59
130,2.69
131,2.57
132,1.92
133,0.79
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.91
142,4.3
143,7.09
144,9.27
145,10.74
146,11.84
147,12.98
148,13.53
149,8.83
150,5.32
151,3.6
152,1.93
153,0.3
154,0.0
155,0.14
156,9.14
157,16.78
158,20.08
159,24.79
160,31.43
161,34.35
162,34.93
163,34.49
164,33.13
165,27.77
166,21.75
167,15.02
168,8.86
169,2.94
170,1.55
171,1.01
172,1.56
173,3.75
174,11.03
175,17.67
176,23.87
177,27.27
178,30.1
179,35.47
180,38.61
181,37.48
182,35.99
183,34.25
184,31.68
185,29.0
186,27.9
187,26.9
188,26.33
189,26.23
190,26.8
191,26.3
192,25.19
193,24.08
194,23.0
195,23.0
196,23.52
197,25.76
198,28.25
199,31.05
200,33.49
201,35.75
202,32.8
203,29.6
204,27.8
205,24.46
206,19.89
207,17.2
208,14.99
