time_s,speed_kmh
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,4.83
22,9.5
23,13.84
24,18.51
25,23.01
26,27.2
27,27.84
28,29.13
29,33.31
30,34.92
31,36.05
32,36.21
33,35.57
34,34.6
35,33.64
36,32.83
37,31.87
38,27.36
39,23.98
40,23.98
41,24.46
42,24.95
43,25.75
44,27.52
45,30.74
46,33.96
47,36.53
48,36.85
49,36.53
50,36.37
51,34.28
52,30.58
53,27.52
54,25.43
55,25.43
56,28.49
57,31.87
58,34.76
59,37.34
60,38.95
61,39.59
62,40.07
63,40.23
64,39.59
65,39.43
66,39.75
67,39.91
68,39.75
69,39.59
70,39.59
71,40.4
72,41.2
73,41.36
74,40.88
75,40.07
76,40.23
77,40.88
78,41.84
79,41.84
80,41.36
81,42.0
82,42.97
83,44.26
84,46.03
85,47.15
86,47.96
87,48.44
88,48.92
89,49.41
90,49.41
91,49.09
92,48.92
93,48.76
94,48.92
95,49.57
96,48.92
97,48.12
98,47.48
99,47.96
100,48.76
101,49.41
102,49.73
103,49.89
104,49.73
105,48.92
106,47.96
107,48.12
108,48.6
109,49.41
110,50.21
111,51.18
112,51.82
113,52.14
114,51.82
115,51.02
116,46.03
117,40.72
118,35.41
119,30.1
120,24.78
121,19.47
122,14.16
123,8.85
124,3.54
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,5.31
165,10.62
166,15.93
167,21.24
168,26.55
169,31.87
170,35.73
171,39.11
172,41.52
173,42.49
174,41.36
175,40.4
176,39.75
177,40.23
178,40.56
179,40.88
180,41.52
181,43.77
182,42.65
183,38.62
184,36.53
185,31.22
186,28.49
187,27.68
188,29.13
189,29.93
190,32.19
191,35.73
192,39.43
193,43.94
194,49.09
195,53.91
196,58.26
197,60.03
198,63.25
199,65.18
200,67.75
201,70.01
202,72.58
203,74.03
204,75.32
205,76.45
206,76.45
207,76.12
208,75.96
209,75.64
210,75.64
211,75.64
212,75.64
213,75.64
214,75.96
215,76.28
216,77.09
217,78.05
218,79.02
219,79.66
220,80.47
221,81.43
222,82.08
223,82.88
224,84.01
225,85.62
226,87.07
227,87.87
228,88.35
229,88.52
230,88.35
231,87.87
232,87.87
233,88.19
234,88.68
235,89.32
236,89.64
237,90.29
238,90.61
239,91.09
240,91.25
241,91.25
242,90.93
243,90.93
244,90.93
245,90.93
246,90.93
247,90.93
248,90.77
249,90.29
250,89.8
251,88.68
252,87.87
253,87.23
254,86.91
255,86.42
256,86.26
257,86.75
258,86.91
259,87.07
260,87.07
261,86.58
262,85.94
263,85.3
264,84.65
265,83.85
266,84.33
267,83.69
268,83.53
269,83.2
270,82.88
271,83.04
272,83.37
273,83.85
274,84.49
275,85.3
276,86.1
277,86.91
278,88.35
279,89.16
280,89.48
281,90.12
282,90.12
283,89.8
284,88.84
285,87.71
286,86.26
287,84.49
288,82.88
289,82.88
290,82.88
291,82.24
292,80.63
293,80.47
294,80.63
295,80.47
296,79.82
297,79.66
298,79.66
299,79.66
300,79.02
301,78.22
302,77.41
303,75.96
304,74.19
305,72.42
306,70.49
307,68.56
308,66.79
309,64.86
310,61.96
311,59.55
312,56.65
313,54.4
314,52.3
315,50.7
316,49.25
317,49.09
318,48.28
319,46.67
320,44.26
321,39.91
322,34.6
323,32.35
324,30.74
325,29.77
326,27.36
327,24.95
328,20.12
329,17.38
330,12.87
331,7.56
332,2.25
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,1.61
348,6.92
349,12.23
350,17.54
351,22.85
352,27.84
353,32.19
354,36.21
355,38.14
356,40.56
357,42.81
358,45.22
359,48.28
360,49.57
361,50.86
362,51.66
363,52.79
364,54.07
365,55.52
366,55.68
367,56.17
368,56.01
369,55.52
370,55.85
371,57.13
372,57.94
373,57.94
374,57.94
375,57.94
376,57.94
377,57.94
378,58.1
379,58.58
380,58.74
381,58.58
382,57.94
383,56.49
384,54.88
385,53.91
386,50.53
387,46.67
388,41.36
389,37.02
390,32.67
391,28.16
392,23.34
393,19.31
394,14.0
395,8.69
396,3.38
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,4.18
404,9.5
405,14.81
406,20.12
407,25.43
408,30.74
409,36.05
410,40.23
411,41.2
412,44.26
413,46.67
414,48.28
415,48.44
416,48.28
417,47.8
418,47.15
419,46.35
420,45.06
421,40.23
422,34.92
423,29.61
424,24.3
425,18.99
426,13.68
427,8.37
428,3.06
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,5.31
449,10.62
450,15.93
451,21.24
452,26.55
453,31.87
454,37.18
455,42.49
456,44.74
457,46.83
458,50.7
459,53.11
460,54.07
461,56.01
462,56.49
463,57.29
464,58.1
465,57.94
466,58.1
467,58.26
468,57.94
469,57.45
470,57.94
471,57.94
472,57.29
473,57.13
474,56.97
475,56.65
476,56.65
477,56.65
478,56.65
479,56.65
480,56.65
481,56.33
482,56.49
483,56.65
484,57.13
485,56.65
486,56.33
487,56.33
488,56.33
489,56.01
490,55.68
491,55.52
492,53.91
493,51.5
494,48.44
495,45.06
496,41.04
497,36.21
498,31.87
499,26.55
500,21.24
501,16.58
502,11.59
503,6.44
504,1.61
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,1.93
512,5.63
513,8.85
514,10.46
515,13.68
516,15.45
517,16.9
518,19.15
519,22.53
520,25.75
521,28.49
522,30.58
523,32.35
524,33.8
525,35.41
526,37.02
527,38.3
528,39.43
529,40.07
530,40.23
531,40.23
532,40.23
533,40.23
534,40.23
535,40.23
536,41.2
537,41.52
538,41.84
539,41.2
540,40.56
541,40.23
542,40.23
543,40.23
544,39.27
545,37.18
546,31.87
547,26.55
548,21.24
549,15.93
550,10.62
551,5.31
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,5.31
570,10.62
